Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,1996,,21.16160027452887
Joseph Coombs,M,28.0,185.0,80.0,Trinidad and Tobago,1980,,23.37472607742878
Arthur Cooper,M,20.0,173.0,66.0,Trinidad and Tobago,1972,,22.052190183434128
Gaiet Cornet Pamies,M,25.0,183.0,70.0,Spain,1988,,20.90238585804294
Gaiet Cornet Pamies,M,28.0,183.0,70.0,Spain,1992,,20.90238585804294
Armando de Freitas Zuzarte Luzarte Corteso,M,21.0,,,Portugal,1912,,
Omer Gustaaf Corteyn,M,23.0,,,Belgium,1920,,
Narciso Valdares Costa,M,20.0,,,Brazil,1924,,
Raymond Crapet,M,21.0,,,France,1948,,
"William Frederick ""Bill"" Crothers",M,23.0,183.0,71.0,Canada,1964,,21.200991370300695
Siegfried Cruden,M,24.0,168.0,64.0,Suriname,1984,,22.675736961451246
Csaba Csutors,M,22.0,186.0,84.0,Hungary,1960,,24.280263614290668
Gustavo Cuesta Rosario,M,27.0,183.0,80.0,Dominican Republic,2016,,23.8884409806205
Morris Joseph Curotta,M,19.0,183.0,73.0,Australia,1948,,21.798202394816208
Morris Joseph Curotta,M,23.0,183.0,73.0,Australia,1952,,21.798202394816208
Wilfrid Cyriaque,M,25.0,173.0,70.0,Haiti,1976,,23.38868655818771
Naiel Santiago D'Almeida,M,21.0,171.0,65.0,Sao Tome and Principe,2008,,22.229061933586404
Anubes Ferraz da Silva,M,24.0,179.0,70.0,Brazil,1960,,21.847008520333322
Delmo da Silva,M,22.0,173.0,68.0,Brazil,1976,,22.720438370810918
Evaldo Rosa da Silva,M,25.0,184.0,73.0,Brazil,1984,,21.561909262759926
Valdinei Ablio da Silva,M,24.0,180.0,71.0,Brazil,1996,,21.91358024691358
Daniel Dbrowski,M,24.0,182.0,72.0,Poland,2008,,21.73650525298877
"Henning Johannes ""Henry"" Dafel",M,31.0,,,South Africa,1920,,
Bror Johan Dahlin,M,26.0,,,Sweden,1912,,
Alfred Daley,M,26.0,175.0,69.0,Jamaica,1976,,22.53061224489796
Alvin Daniel,M,23.0,188.0,75.0,Trinidad and Tobago,1992,,21.22000905387053
"Olof Gustav Arne ""Olle"" Danielsson",M,24.0,,,Sweden,1936,,
Ira Nelson Davenport,M,24.0,178.0,72.0,United States,1912,,22.724403484408533
Ji David,M,29.0,187.0,80.0,Czechoslovakia,1952,,22.87740570219337
Charles C. Davies,M,,,,Great Britain,1908,,
Howard Granville Davies,M,24.0,178.0,69.0,Great Britain,1968,,21.777553339224845
Edgar Brian Davis,M,19.0,183.0,74.0,South Africa,1960,,22.096807907073966
Howard Davis,M,21.0,185.0,81.0,Jamaica,1988,,23.66691015339664
Malachi John Davis,M,26.0,183.0,79.0,Great Britain,2004,,23.589835468362747
Otis Crandall Davis,M,28.0,185.0,74.0,United States,1960,Gold,21.62162162162162
Gordon Raymond Day,M,24.0,185.0,74.0,South Africa,1960,,21.62162162162162
Fernando Pereira de Almeida,M,23.0,186.0,74.0,Brazil,2008,,21.389756041160826
Carlos de Anda Dominguez,M,24.0,175.0,,Mexico,1932,,
Antnio Damaso de Carvalho,M,22.0,,,Brazil,1936,,
Lodewijk De Clerck,M,24.0,176.0,67.0,Belgium,1960,,21.62964876033058
"duard ""Eddy"" De Leeuw",M,24.0,190.0,73.0,Belgium,1980,,20.221606648199447
Srgio Matias Franco de Menezes,M,23.0,180.0,78.0,Brazil,1988,,24.074074074074073
John Henricus De Saram,M,19.0,,,Sri Lanka,1948,,
"Frederick Monroe ""Fred"" de Selding",M,20.0,175.0,68.0,United States,1908,,22.20408163265306
Neil De Silva,M,26.0,175.0,75.0,Trinidad and Tobago,1996,,24.489795918367346
Neil De Silva,M,30.0,175.0,75.0,Trinidad and Tobago,2000,,24.489795918367346
Grson Andrade de Souza,M,25.0,176.0,74.0,Brazil,1984,,23.889462809917354
Grson Andrade de Souza,M,29.0,176.0,74.0,Brazil,1988,,23.889462809917354
Sidney Telles de Souza,M,25.0,183.0,65.0,Brazil,1992,,19.409358296754156
Marcell Dek Nagy,M,20.0,186.0,73.0,Hungary,2012,,21.100705283847844
Asfaw Deble,M,25.0,174.0,61.0,Ethiopia,1980,,20.147971991015986
Jacques Lopold Degats,M,22.0,180.0,76.0,France,1952,,23.45679012345679
Jacques Lopold Degats,M,26.0,180.0,76.0,France,1956,,23.45679012345679
Isidro del Prado,M,25.0,176.0,73.0,Philippines,1984,,23.56663223140496
Patrick Delice,M,20.0,184.0,77.0,Trinidad and Tobago,1988,,22.743383742911153
Patrick Delice,M,24.0,184.0,77.0,Trinidad and Tobago,1992,,22.743383742911153
Maurice Paul Lon Delvart,M,20.0,,,France,1920,,
Francis Demarthon,M,29.0,178.0,65.0,France,1980,,20.515086478979928
Ioannis Demestikhas,M,,,,Greece,1906,,
Cornelis Johannes den Held,M,24.0,,,Netherlands,1908,,
Dadi Denis,M,27.0,185.0,78.0,Haiti,2004,,22.790357925493062
Bereket Desta Gebretsadik,M,22.0,180.0,63.0,Ethiopia,2012,,19.444444444444443
Istvn (Stefan von) Dvn,M,21.0,170.0,61.0,Hungary,1912,,21.10726643598616
Alfonso Di Guida,M,22.0,181.0,74.0,Italy,1976,,22.587833094227893
El-Mehdi Sallah Ahmad Diab,M,,160.0,58.0,Libya,1980,,22.65625
Mohamed Diakit,M,22.0,176.0,69.0,Guinea,1980,,22.275309917355372
Boubacar Diallo,M,29.0,176.0,65.0,Senegal,1984,,20.983987603305785
Ousmane Diarra,M,24.0,185.0,73.0,Senegal,1988,,21.32943754565376
Rodobaldo Daz Arrambarry,M,26.0,178.0,71.0,Cuba,1968,,22.408786769347305
Alan Dick,M,22.0,,,Great Britain,1952,,
Samba Diye,M,27.0,185.0,75.0,Senegal,1976,,21.91380569758948
Florentus Hazzard Dill,M,29.0,,,Bermuda,1948,,
Euripidis Dimosthenous,M,23.0,180.0,70.0,Cyprus,1996,,21.604938271604937
Euripidis Dimosthenous,M,27.0,180.0,70.0,Cyprus,2000,,21.604938271604937
"Stylianos ""Stelios"" Dimotsios",M,29.0,183.0,81.0,Greece,2004,,24.18704649287826
Yoyaga Dit Fatogoma Dit Coulibaly,M,25.0,172.0,67.0,Cote d'Ivoire,1964,,22.6473769605192
Yoyaga Dit Fatogoma Dit Coulibaly,M,29.0,172.0,67.0,Cote d'Ivoire,1968,,22.6473769605192
Leslie Djhone,M,23.0,187.0,76.0,France,2004,,21.733535417083704
Leslie Djhone,M,27.0,187.0,76.0,France,2008,,21.733535417083704
Kurt Wilhelm Doerry,M,21.0,179.0,73.0,Germany,1896,,22.783308885490467
Musa Dogon Yaro,M,23.0,172.0,70.0,Nigeria,1968,,23.66143861546782
Paul P. Dolan,M,25.0,185.0,78.0,Ireland,1952,,22.790357925493062
"Bohdan ""Don"" Domansky",M,22.0,180.0,77.0,Canada,1968,,23.765432098765434
"Bohdan ""Don"" Domansky",M,29.0,180.0,77.0,Canada,1976,,23.765432098765434
Anderson Jorge Oliveira dos Santos,M,32.0,186.0,69.0,Brazil,2004,,19.944502254595907
"Osmiro ""Osmar"" Barbosa dos Santos",M,27.0,175.0,65.0,Brazil,1996,,21.224489795918366
Wilson David dos Santos,M,29.0,188.0,74.0,Brazil,1984,,20.93707559981892
Troy Douglas,M,25.0,172.0,76.0,Bermuda,1988,,25.689561925365062
Troy Douglas,M,29.0,172.0,76.0,Bermuda,1992,,25.689561925365062
Troy Douglas,M,33.0,172.0,76.0,Bermuda,1996,,25.689561925365062
Francisco Dova,M,,,,Argentina,1924,,
Emin Doybak,M,,,,Turkey,1952,,
Charles Dramiga,M,26.0,,,Uganda,1980,,
Apisai Driu Baibai,M,21.0,181.0,70.0,Fiji,1992,,21.36686914318855
Walter Edwin Drumheller,M,21.0,,,United States,1900,,
Didier Dubois,M,23.0,178.0,68.0,France,1980,,21.461936624163616
"John Vinzenz Andrew de Villiers ""Vincent"" Duncker",M,21.0,184.0,77.0,Germany,1906,,22.743383742911153
Fitzroy Junior Dunkley,M,23.0,195.0,79.0,Jamaica,2016,,20.775805391190005
Georges Dupont,M,25.0,,,France,1928,,
"Patrick ""Pat"" Dwyer",M,22.0,186.0,81.0,Australia,2000,,23.413111342351716
Maksim Sergeyevich Dyldin,M,21.0,175.0,68.0,Russia,2008,,22.20408163265306
Maksim Sergeyevich Dyldin,M,25.0,175.0,68.0,Russia,2012,,22.20408163265306
Juan Carlos Pablo Dyrzka,M,23.0,180.0,77.0,Argentina,1964,,23.765432098765434
Juan Carlos Pablo Dyrzka,M,27.0,180.0,77.0,Argentina,1968,,23.765432098765434
Iliya Dzhivondov,M,22.0,183.0,74.0,Bulgaria,2000,,22.096807907073966
"Benjamin Bangs ""Ben"" Eastman",M,21.0,185.0,70.0,United States,1932,Silver,20.452885317750184
Mohamed E. Ebeid,M,25.0,,,Egypt,1936,,
Gary John Eddy,M,19.0,183.0,76.0,Australia,1964,,22.694018931589476
"Clarence Sinclair ""Hec"" Edmundson",M,25.0,183.0,70.0,United States,1912,,20.90238585804294
"Philip Aron ""Phil"" Edwards",M,20.0,176.0,64.0,Canada,1928,,20.66115702479339
Kristijan Efremov,M,21.0,184.0,72.0,Macedonia,2012,,21.266540642722116
Innocent Ejima Egbunike,M,22.0,174.0,65.0,Nigeria,1984,,21.469150482230148
Innocent Ejima Egbunike,M,26.0,174.0,65.0,Nigeria,1988,,21.469150482230148
Innocent Ejima Egbunike,M,30.0,174.0,65.0,Nigeria,1992,,21.469150482230148
Anthony Egwunyenga,M,25.0,171.0,63.0,Nigeria,1968,,21.54509079716836
Gustavo Ehlers Trstel,M,23.0,185.0,75.0,Chile,1948,,21.91380569758948
Tage Henning Ekfeldt,M,26.0,,,Sweden,1952,,
Pantelis Ektoros,M,,,,Greece,1906,,
Mohamed El-Abed,M,23.0,,,Syria,1980,,
Hassan El-Kashief,M,28.0,175.0,68.0,Sudan,1984,,22.20408163265306
Robert Simpson Emery,M,21.0,175.0,64.0,United States,1920,,20.897959183673468
Nils Erik Engdahl,M,21.0,165.0,57.0,Sweden,1920,Bronze,20.9366391184573
Nils Erik Engdahl,M,25.0,165.0,57.0,Sweden,1924,,20.9366391184573
Mohammad Reza Entezari,M,26.0,178.0,73.0,Iran,1972,,23.040020199469765
Emilio Gustavo Bodjedi Envela Mahua,M,20.0,176.0,77.0,Equatorial Guinea,1988,,24.857954545454547
Orukpe Eraiyokan,M,22.0,180.0,73.0,Nigeria,2016,,22.530864197530864
Flix A. Escobar,M,,,,Argentina,1924,,
Juan Escutia,M,,,,Mexico,1924,,
Hederson Alves Estefani,M,24.0,183.0,65.0,Brazil,2016,,19.409358296754156
Guillermo Armando Evans,M,25.0,,,Argentina,1948,,
Lee Edward Evans,M,21.0,180.0,78.0,United States,1968,Gold,24.074074074074073
"Daniel Joseph ""Danny Joe"" Everett",M,21.0,187.0,64.0,United States,1988,Bronze,18.301924561754696
"Daniel Joseph ""Danny Joe"" Everett",M,25.0,187.0,64.0,United States,1992,,18.301924561754696
"Brand ""Bram"" Evers",M,21.0,,,Netherlands,1908,,
"Frdric ""Fritz"" Eyschen",M,25.0,,,Luxembourg,1928,,
Hope Ezeigbo,M,22.0,201.0,72.0,Nigeria,1980,,17.82134105591446
Sven Per Anders Faager,M,25.0,186.0,76.0,Sweden,1972,,21.967857555786797
Luigi Facelli,M,25.0,175.0,70.0,Italy,1924,,22.857142857142858
Charles-Robert Faidide,M,,,,France,1900,,
Samba Fall,M,27.0,188.0,71.0,Mauritania,1992,,20.088275237664103
Eugene Farrell,M,23.0,178.0,62.0,Ireland,1996,,19.56823633379624
Ali Faudet,M,18.0,185.0,65.0,Chad,1988,,18.991964937910883
Ali Faudet,M,22.0,185.0,65.0,Chad,1992,,18.991964937910883
Jean-Max Faustin,M,21.0,176.0,71.0,Haiti,1972,,22.920971074380166
Barthlmy Favodon,M,25.0,,,France,1924,,
Muhammad Fayyaz,M,21.0,172.0,60.0,Pakistan,1988,,20.281233098972418
Ren Ernest Fger,M,24.0,176.0,68.0,France,1928,,21.952479338842974
Delon Felix,M,18.0,,,Grenada,1992,,
Pedro Ferrer Andino,M,18.0,168.0,61.0,Puerto Rico,1972,,21.61281179138322
Gaston Lucien Fry,M,19.0,176.0,76.0,France,1920,,24.535123966942148
Gaston Lucien Fry,M,24.0,176.0,76.0,France,1924,,24.535123966942148
Milan Fillo,M,23.0,178.0,71.0,Czechoslovakia,1952,,22.408786769347305
Baptiste Firiam,M,17.0,173.0,60.0,Vanuatu,1988,,20.04744562130375
Baptiste Firiam,M,21.0,173.0,60.0,Vanuatu,1992,,20.04744562130375
Horatio May Fitch,M,23.0,175.0,68.0,United States,1924,Silver,22.20408163265306
Joseph Stanislaus Fleming,M,20.0,,,United States,1904,,
Clifton Forbes,M,22.0,183.0,76.0,Jamaica,1968,,22.694018931589476
Elvis A. Forde,M,24.0,180.0,74.0,Barbados,1984,,22.839506172839506
Elvis A. Forde,M,28.0,180.0,74.0,Barbados,1988,,22.839506172839506
Randolph Olivier Foster Hutchinson,M,23.0,,,Costa Rica,1992,,
Alleyne Jeremy Francique,M,28.0,188.0,75.0,Grenada,2004,,21.22000905387053
Alleyne Jeremy Francique,M,32.0,188.0,75.0,Grenada,2008,,21.22000905387053
Javon Francis,M,21.0,183.0,68.0,Jamaica,2016,,20.305174833527428
Karel Frankenstein (-Frank),M,23.0,,,Czechoslovakia,1920,,
Michael Bruce Frayne,M,26.0,179.0,66.0,Australia,1984,,20.598608033457133
Herman Ronald Frazier,M,21.0,184.0,73.0,United States,1976,Bronze,21.561909262759926
"Ronald John ""Ron"" Freeman, III",M,21.0,183.0,82.0,United States,1968,Bronze,24.485652005136014
"William Duncan ""Bill"" Fritz",M,21.0,178.0,67.0,Canada,1936,,21.146319909102385
Raymond E. Fritz,M,,,,France,1924,,
Hortensio Fucil Herrera,M,25.0,178.0,76.0,Venezuela,1964,,23.986870344653454
Takeshi Salvador Fujiwara Salazar,M,19.0,175.0,64.0,El Salvador,2004,,20.897959183673468
John William Fuller,M,,,,Canada,1924,,
Amadou Gakou,M,24.0,175.0,69.0,Senegal,1964,,22.53061224489796
Amadou Gakou,M,28.0,175.0,69.0,Senegal,1968,,22.53061224489796
Amadou Gakou,M,32.0,175.0,69.0,Senegal,1972,,22.53061224489796
Anton Sergeyevich Galkin,M,22.0,185.0,77.0,Russia,2004,,22.4981738495252
"Thomas Heaton ""Tom"" Gallon",M,25.0,169.0,73.0,Canada,1912,,25.559329155141626
Matteo Galvan,M,27.0,183.0,73.0,Italy,2016,,21.798202394816208
Carlos A. Garces,M,,,,Mexico,1924,,
Alfonso Garca,M,,173.0,,Mexico,1928,,
Angel Garca Delgado,M,28.0,164.0,71.0,Cuba,1948,,26.39797739440809
Angel Garca Delgado,M,32.0,164.0,71.0,Cuba,1952,,26.39797739440809
Jos Garca Lorenzana,M,19.0,180.0,82.0,Spain,1920,,25.308641975308642
Miguel Garca Onsalo,M,22.0,,,Spain,1920,,
Steven Gardiner,M,20.0,193.0,94.0,Bahamas,2016,,25.235576794007894
Alfredo Gargiullo,M,18.0,,,Italy,1924,,
Mark James Garner,M,23.0,174.0,69.0,Australia,1992,,22.79032897344431
Pyotr Gayevsky,M,24.0,,,Russia,1912,,
Hermann Geiler,M,22.0,,,Austria,1928,,
Hans-Gnter Geister,M,23.0,177.0,73.0,Germany,1952,,23.301094832264038
Winston Oudkerk George,M,25.0,167.0,66.0,Guyana,2012,,23.66524436157625
Winston Oudkerk George,M,29.0,167.0,66.0,Guyana,2016,,23.66524436157625
Mr Ger,M,23.0,,,Hungary,1928,,
Mohammad Hossein Ghafourizadeh,M,21.0,174.0,65.0,Iran,1964,,21.469150482230148
Omar Ghizlat,M,18.0,175.0,65.0,Morocco,1968,,21.224489795918366
Omar Ghizlat,M,21.0,175.0,65.0,Morocco,1972,,21.224489795918366
"Arie Gill (Gluck-, -Gluck)",M,22.0,,,Israel,1952,,
David Gillick,M,25.0,195.0,85.0,Ireland,2008,,22.35371466140697
Franco Giongo,M,20.0,,,Italy,1912,,
Graham Chater Gipson,M,24.0,,,Australia,1956,,
Charles Gitonga,M,24.0,175.0,65.0,Kenya,1996,,21.224489795918366
Clayton M. Glasgow,M,23.0,169.0,66.0,Guyana,1960,,23.108434578621196
Charles Henry Stuart Gmelin,M,23.0,,,Great Britain,1896,Bronze,
Akossi Gnalo,M,28.0,180.0,70.0,Togo,1988,,21.604938271604937
Mathieu Gnanligo Fousseni,M,21.0,180.0,70.0,Benin,2008,,21.604938271604937
Mathieu Gnanligo Fousseni,M,25.0,180.0,70.0,Benin,2012,,21.604938271604937
George Augustus Golding,M,26.0,187.0,80.0,Australia,1932,,22.87740570219337
Dmitry Anatolyevich Golovastov,M,29.0,187.0,78.0,Russia,2000,,22.305470559638536
Jermaine Gonzales,M,29.0,185.0,82.0,Jamaica,2012,,23.9590942293645
John William Goodman,M,19.0,,,Australia,1956,,
James Allen Gordon,M,23.0,180.0,70.0,United States,1932,,21.604938271604937
Lalonde Keida Gordon,M,23.0,179.0,83.0,Trinidad and Tobago,2012,Bronze,25.90431010268094
Lalonde Keida Gordon,M,27.0,179.0,83.0,Trinidad and Tobago,2016,,25.90431010268094
Richard Kevan Gosper,M,22.0,188.0,77.0,Australia,1956,,21.785875961973744
Richard Kevan Gosper,M,26.0,188.0,77.0,Australia,1960,,21.785875961973744
Rudolf Gtz,M,25.0,178.0,67.0,Czech Republic,2008,,21.146319909102385
Jean-Pierre Goudeau,M,19.0,183.0,75.0,France,1952,,22.39541341933172
"Anastasios ""Tasos"" Gousis",M,21.0,177.0,75.0,Greece,2000,,23.939480992052093
John Goville,M,26.0,173.0,61.0,Uganda,1988,,20.38156971499215
Konstantin Nikolayevich Grachov,M,29.0,166.0,63.0,Soviet Union,1956,,22.8625344752504
Konstantin Nikolayevich Grachov,M,33.0,166.0,63.0,Soviet Union,1960,,22.8625344752504
"Timothy Joseph Michael ""Tim"" Graham",M,25.0,178.0,65.0,Great Britain,1964,,20.515086478979928
Pedro Antonio Grajales Escobar,M,24.0,172.0,72.0,Colombia,1964,,24.3374797187669
Pedro Antonio Grajales Escobar,M,28.0,172.0,72.0,Colombia,1968,,24.3374797187669
Peter Treacy Grant,M,22.0,180.0,70.0,Australia,1976,,21.604938271604937
"Arthur William ""Billy"" Green",M,23.0,,,Great Britain,1928,,
Dean H. Greenaway,M,25.0,175.0,78.0,British Virgin Islands,1984,,25.46938775510204
Paul Haydon Greene,M,23.0,184.0,78.0,Australia,1996,,23.03875236294896
Hamil O. Grimes,M,19.0,175.0,69.0,Barbados,1976,,22.53061224489796
David Allan Grindley,M,19.0,188.0,79.0,Great Britain,1992,,22.351742870076958
Alphonse Grisel,M,,,,France,1896,,
Amos Grodzinowsky,M,20.0,174.0,65.0,Israel,1960,,21.469150482230148
Herman Charles Groman,M,21.0,,,United States,1904,Bronze,
German Guenard Soltero,M,17.0,176.0,66.0,Puerto Rico,1960,,21.306818181818183
George James Guida,M,23.0,175.0,73.0,United States,1948,,23.836734693877553
"Eduardo ""Eddy"" Gutirrez James",M,24.0,187.0,78.0,Cuba,1976,,22.305470559638536
Guillermo Gutirrez,M,25.0,,,Venezuela,1952,,
Oscar Guttormsen,M,24.0,,,Norway,1908,,
Robert Guy,M,32.0,188.0,79.0,Trinidad and Tobago,1996,,22.351742870076958
Istvn Gyulai,M,21.0,180.0,73.0,Hungary,1964,,22.530864197530864
Jean-Pierre Haarhoff,M,24.0,184.0,78.0,France,1956,,23.03875236294896
Karl-Friedrich Haas,M,20.0,186.0,72.0,Germany,1952,,20.81165452653486
Karl-Friedrich Haas,M,25.0,186.0,72.0,Germany,1956,Silver,20.81165452653486
Piotr Haczek,M,23.0,188.0,72.0,Poland,2000,,20.371208691715708
Carroll Barse Haff,M,20.0,185.0,70.0,United States,1912,,20.452885317750184
Rudolf Haidegger,M,29.0,,,Austria,1952,,
Abebe Hailou,M,23.0,,,Ethiopia,1956,,
Ernest William Haley,M,27.0,,,Great Britain,1912,,
James Stanton Hall,M,25.0,,,India,1928,,
Wyndham Halswelle,M,23.0,,,Great Britain,1906,Silver,
Wyndham Halswelle,M,25.0,,,Great Britain,1908,Gold,
Jean Hamilius,M,25.0,,,Luxembourg,1952,,
"Frdric ""Fred"" Hammer",M,22.0,178.0,67.0,Luxembourg,1952,,21.146319909102385
Paul Hammer,M,23.0,,,Luxembourg,1924,,
Kassem Hamz,M,22.0,166.0,62.0,Lebanon,1972,,22.49963710262738
Mark Ian Handelsman,M,23.0,183.0,70.0,Israel,1984,,20.90238585804294
John Austin Thomas Hanlon,M,22.0,187.0,74.0,Great Britain,1928,,21.16160027452887
"Alejandro ""Alex"" Hannig Ulriksen",M,30.0,,,Chile,1928,,
Jens Oluf Smedegaard Hansen,M,23.0,182.0,65.0,Denmark,1980,,19.623233908948194
Oskar Hardmeier,M,22.0,168.0,62.0,Switzerland,1948,,21.967120181405896
Abdalelah Haroun Hassan,M,19.0,185.0,80.0,Qatar,2016,,23.37472607742878
"Anthony ""Tony"" Harper",M,29.0,188.0,66.0,Bermuda,1968,,18.673607967406067
"Otis Harris, Jr.",M,22.0,185.0,83.0,United States,2004,Silver,24.25127830533236
Alvin Leonardo Harrison,M,22.0,188.0,80.0,United States,1996,,22.634676324128566
Alvin Leonardo Harrison,M,26.0,188.0,80.0,United States,2000,Silver,22.634676324128566
Mohamed Mehdi Hasan,M,20.0,167.0,60.0,Bangladesh,1992,,21.513858510523864
Sajjad Hashemi Ahangari,M,20.0,178.0,69.0,Iran,2012,,21.777553339224845
Ibrahim Mohamed Hassan,M,25.0,185.0,76.0,Ghana,1996,,22.20598977355734
Issaka Hassane,M,25.0,190.0,78.0,Chad,1984,,21.606648199445985
L. Hasso,M,,,,Iraq,1948,,
"Gregory ""Greg"" Haughton",M,26.0,185.0,79.0,Jamaica,2000,Bronze,23.08254200146092
Hirotada Hayase,M,19.0,174.0,67.0,Japan,1960,,22.12973972783723
Hirotada Hayase,M,24.0,174.0,67.0,Japan,1964,,22.12973972783723
Adem Hecini,M,28.0,175.0,66.0,Algeria,2004,,21.551020408163264
Amar Hecini,M,24.0,175.0,70.0,Algeria,1996,,22.857142857142858
Raymond Alfred Heerenveen,M,27.0,176.0,62.0,Netherlands Antilles,1976,,20.015495867768596
Voitto Valdemar Hellstn,M,24.0,160.0,72.0,Finland,1956,Bronze,28.125
Voitto Valdemar Hellstn,M,28.0,160.0,72.0,Finland,1960,,28.125
Ernest John Henley,M,23.0,,,Great Britain,1912,,
Victor Henny,M,20.0,,,Netherlands,1908,,
Georges Henry,M,28.0,173.0,73.0,France,1936,,24.3910588392529
Tabarie Joil Henry,M,20.0,185.0,75.0,United States Virgin Islands,2008,,21.91380569758948
Tabarie Joil Henry,M,24.0,185.0,75.0,United States Virgin Islands,2012,,21.91380569758948
ngel Valentn de las Heras Lzaro,M,25.0,177.0,67.0,Spain,1984,,21.38593635289987
Roberto Hernndez Prendes,M,25.0,179.0,74.0,Cuba,1992,,23.09540900720951
"Bernhard Erich ""Bernd"" Herrmann",M,24.0,191.0,80.0,West Germany,1976,,21.929223431375238
