BASIN,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,8/16/17 6:00,DS,13.7,-45.8,25,1013,25,1013
NA,9:00:00,DS,13.71,-46.6,,,25,1011
NA,12:00:00,DS,13.7,-47.4,25,1010,25,1010
NA,15:00:00,DS,13.65,-48.2,,,25,1009
NA,18:00:00,DS,13.6,-49,25,1009,25,1009
NA,21:00:00,DS,13.61,-49.81,,,25,1009
NA,8/17/17 0:00,DS,13.6,-50.6,25,1010,25,1010
NA,3:00:00,DS,13.52,-51.31,,,25,1009
NA,6:00:00,TS,13.4,-52,25,1008,25,1008
NA,9:00:00,TS,13.24,-52.69,,,27,1008
NA,12:00:00,TS,13.1,-53.4,30,1008,30,1008
NA,15:00:00,TS,13.03,-54.18,,,32,1006
NA,18:00:00,TS,13,-55,35,1004,35,1004
NA,21:00:00,TS,12.99,-55.78,,,37,1003
NA,8/18/17 0:00,TS,13,-56.6,40,1003,40,1003
NA,3:00:00,TS,12.99,-57.49,,,40,1003
NA,6:00:00,TS,13,-58.4,40,1004,40,1004
NA,9:00:00,TS,13.08,-59.28,,,40,1004
NA,10:00:00,TS,13.1,-59.6,40,1004,40,1004
NA,12:00:00,TS,13.1,-60.3,40,1004,40,1004
NA,15:00:00,TS,13.2,-61.2,40,1004,40,1004
NA,18:00:00,TS,13.2,-62.2,35,1005,35,1005
NA,21:00:00,TS,13.29,-63.13,,,35,1005
NA,8/19/17 0:00,TS,13.4,-64,35,1005,35,1005
NA,3:00:00,TS,13.45,-64.85,,,35,1005
NA,6:00:00,TS,13.5,-65.7,35,1005,35,1005
NA,9:00:00,TS,13.6,-66.6,,,32,1005
NA,12:00:00,TS,13.7,-67.5,30,1006,30,1006
NA,15:00:00,TS,13.75,-68.35,,,30,1006
NA,18:00:00,DS,13.8,-69.2,30,1007,30,1007
NA,21:00:00,DS,13.89,-70.09,,,30,1007
NA,8/20/17 0:00,DS,14,-71,30,1007,30,1007
NA,3:00:00,DS,14.1,-71.93,,,30,1007
NA,6:00:00,DS,14.2,-72.9,30,1007,30,1007
NA,9:00:00,DS,14.29,-73.96,,,30,1006
NA,12:00:00,DS,14.4,-75,30,1006,30,1006
NA,15:00:00,DS,14.53,-75.92,,,30,1006
NA,18:00:00,DS,14.7,-76.8,30,1007,30,1007
NA,21:00:00,DS,14.88,-77.69,,,27,1007
NA,8/21/17 0:00,DS,15.1,-78.6,25,1007,25,1007
NA,3:00:00,DS,15.38,-79.54,,,25,1007
NA,6:00:00,DS,15.7,-80.5,25,1008,25,1008
NA,9:00:00,DS,16.03,-81.49,,,25,1008
NA,12:00:00,DS,16.4,-82.5,25,1008,25,1008
NA,15:00:00,DS,16.85,-83.56,,,25,1008
NA,18:00:00,DS,17.3,-84.6,25,1008,25,1008
NA,21:00:00,DS,17.67,-85.55,,,25,1008
NA,8/22/17 0:00,DS,18,-86.4,25,1008,25,1008
NA,3:00:00,DS,18.29,-87.16,,,25,1008
NA,6:00:00,DS,18.6,-87.8,25,1009,25,1009
NA,9:00:00,DS,19,-88.34,,,25,1009
NA,12:00:00,DS,19.4,-88.8,25,1010,25,1010
NA,15:00:00,DS,19.72,-89.25,,,25,1010
NA,18:00:00,DS,20,-89.7,25,1010,25,1010
NA,21:00:00,DS,20.26,-90.2,,,25,1009
NA,8/23/17 0:00,DS,20.5,-90.7,25,1009,25,1009
NA,3:00:00,DS,20.7,-91.17,,,25,1008
NA,6:00:00,DS,20.9,-91.6,25,1008,25,1008
NA,9:00:00,DS,21.17,-92.01,,,27,1007
NA,12:00:00,TS,21.4,-92.3,30,1006,30,1006
NA,15:00:00,TS,21.51,-92.4,,,32,1005
NA,18:00:00,TS,21.6,-92.4,35,1005,35,1005
NA,21:00:00,TS,21.75,-92.45,,,37,1004
NA,8/24/17 0:00,TS,22,-92.5,40,1003,40,1003
NA,3:00:00,TS,22.36,-92.52,,,45,1000
NA,6:00:00,TS,22.8,-92.6,50,997,50,997
NA,9:00:00,TS,23.26,-92.82,,,55,991
NA,12:00:00,TS,23.7,-93.1,60,986,60,986
NA,15:00:00,TS,24.07,-93.33,,,65,982
NA,18:00:00,TS,24.4,-93.6,70,978,70,978
NA,21:00:00,TS,24.71,-93.99,,,75,975
NA,8/25/17 0:00,TS,25,-94.4,80,973,80,973
NA,3:00:00,TS,25.29,-94.76,,,85,969
NA,6:00:00,TS,25.6,-95.1,90,966,90,966
NA,9:00:00,TS,25.94,-95.47,,,92,957
NA,12:00:00,TS,26.3,-95.8,95,949,95,949
NA,15:00:00,TS,26.7,-96.07,,,100,946
NA,18:00:00,TS,27.1,-96.3,105,943,105,943
NA,21:00:00,TS,27.49,-96.58,,,110,942
NA,8/26/17 0:00,TS,27.8,-96.8,115,941,115,941
NA,3:00:00,TS,28,-96.9,115,937,115,937
NA,6:00:00,TS,28.2,-97.1,105,948,105,948
NA,9:00:00,TS,28.45,-97.22,,,85,963
NA,12:00:00,TS,28.7,-97.3,65,978,65,978
NA,15:00:00,TS,28.87,-97.42,,,57,984
NA,18:00:00,TS,29,-97.5,50,991,50,991
NA,21:00:00,TS,29.11,-97.45,,,47,993
NA,8/27/17 0:00,TS,29.2,-97.4,45,995,45,995
NA,3:00:00,TS,29.28,-97.5,,,42,996
NA,6:00:00,TS,29.3,-97.6,40,998,40,998
NA,9:00:00,TS,29.21,-97.59,,,37,998
NA,12:00:00,TS,29.1,-97.5,35,998,35,998
NA,15:00:00,TS,29.05,-97.37,,,35,998
NA,18:00:00,TS,29,-97.2,35,998,35,998
NA,21:00:00,TS,28.91,-97,,,35,997
NA,8/28/17 0:00,TS,28.8,-96.8,35,997,35,997
NA,3:00:00,TS,28.69,-96.64,,,37,997
NA,6:00:00,TS,28.6,-96.5,40,997,40,997
NA,9:00:00,TS,28.54,-96.35,,,40,997
NA,12:00:00,TS,28.5,-96.2,40,997,40,997
NA,15:00:00,TS,28.46,-96.07,,,40,997
NA,18:00:00,TS,28.4,-95.9,40,997,40,997
NA,21:00:00,TS,28.3,-95.66,,,40,996
NA,8/29/17 0:00,TS,28.2,-95.4,40,996,40,996
NA,3:00:00,TS,28.13,-95.19,,,40,996
NA,6:00:00,TS,28.1,-95,40,996,40,996
NA,9:00:00,TS,28.12,-94.8,,,40,995
NA,12:00:00,TS,28.2,-94.6,40,995,40,995
NA,15:00:00,TS,28.33,-94.4,,,42,994
NA,18:00:00,TS,28.5,-94.2,45,993,45,993
NA,21:00:00,TS,28.69,-93.99,,,45,993
NA,8/30/17 0:00,TS,28.9,-93.8,45,994,45,994
NA,3:00:00,TS,29.06,-93.7,,,42,992
NA,6:00:00,TS,29.4,-93.6,40,990,40,990
NA,8:00:00,TS,29.8,-93.5,40,991,40,991
NA,9:00:00,TS,29.92,-93.47,,,40,991
NA,12:00:00,TS,30.1,-93.4,40,992,40,992
NA,15:00:00,TS,30.33,-93.28,,,37,994
NA,18:00:00,TS,30.6,-93.1,35,996,35,996
NA,21:00:00,TS,30.94,-92.86,,,32,997
NA,8/31/17 0:00,TS,31.3,-92.6,30,998,30,998
NA,3:00:00,TS,31.61,-92.4,,,27,998
NA,6:00:00,TS,31.9,-92.2,25,999,25,999
NA,9:00:00,TS,32.18,-91.98,,,22,1000
NA,12:00:00,TS,32.5,-91.7,20,1001,20,1001
NA,15:00:00,TS,32.94,-91.36,,,22,1001
NA,18:00:00,TS,33.4,-90.9,25,1001,25,1001
NA,21:00:00,TS,33.76,-90.29,,,27,1000
NA,9/1/17 0:00,TS,34.1,-89.6,30,1000,30,1000
NA,3:00:00,TS,34.47,-88.88,,,30,1001
NA,6:00:00,ET,34.9,-88.2,30,1002,30,1002
NA,9:00:00,ET,35.47,-87.6,,,27,1002
NA,12:00:00,ET,36,-87.1,25,1002,25,1002
NA,15:00:00,ET,36.28,-86.73,,,22,1003
NA,18:00:00,ET,36.5,-86.4,20,1004,20,1004
NA,21:00:00,ET,36.84,-86,,,20,1005
NA,9/2/17 0:00,ET,37.2,-85.6,20,1007,20,1007
NA,3:00:00,ET,37.58,-85.21,,,20,1008
NA,6:00:00,ET,37.9,-84.9,20,1009,20,1009
NA,9:00:00,ET,38.09,-84.75,,,17,1011
NA,12:00:00,ET,38.2,-84.7,15,1013,15,1013